,Rank,Movie,World Profit,Gross,National View,Foreign Profit,International View
166,167,Love Lies Bleeding,"$10,824,208","$60,720",0.6%,"$10,763,488",99.4%
167,168,Look Back,"$10,763,217","$2,574,318",23.9%,"$8,188,899",76.1%
168,169,The Exorcism,"$10,740,923",-,-,"$10,740,923",100%
169,170,Thelma,"$10,638,729","$9,756,635",91.7%,"$882,094",8.3%
170,171,Flow,"$10,452,473","$263,511",2.5%,"$10,188,962",97.5%
171,172,Am I Racist?,"$10,448,459","$1,591,002",15.2%,"$8,857,457",84.8%
172,173,Yolki 11,"$10,337,403",-,-,"$10,337,403",100%
173,174,Bonhoeffer,"$10,176,530",-,-,"$10,176,530",100%
174,175,Muroi Shinji: Not Defeated,"$10,174,418",-,-,"$10,174,418",100%
175,176,Citizen of a Kind,"$9,927,714","$9,774,285",98.5%,"$153,429",1.5%
176,177,The Enchanted Tinderbox,"$9,884,911",-,-,"$9,884,911",100%
177,178,Sound of Hope: The Story of Possum Trot,"$9,823,268",-,-,"$9,823,268",100%
178,179,The Brutalist,"$9,803,938","$9,511,315",97%,"$292,623",3%
179,180,Emilia Pérez,"$9,782,064",-,-,"$9,782,064",100%
180,181,Maison de retraite 2,"$9,750,460",-,-,"$9,750,460",100%
181,182,A Million Minutes,"$9,634,555",-,-,"$9,634,555",100%
182,183,The Lord of the Rings: The Return of the King 2024 Re-release,"$9,500,809",-,-,"$9,500,809",100%
183,184,Alienoid: The Return to the Future,"$9,482,744","$9,482,744",100%,-,-
184,185,Jung Kook: I Am Still,"$9,245,340",-,-,"$9,245,340",100%
185,186,Cat and Dog,"$9,211,570",-,-,"$9,211,570",100%
186,187,Piece by Piece,"$9,201,680",-,-,"$9,201,680",100%
187,188,One Direction: This Is Us 2024 Re-release,"$9,163,586",-,-,"$9,163,586",100%
188,189,Small Things Like These,"$8,809,952",-,-,"$8,809,952",100%
189,190,Mrs. Green Apple: The White Lounge,"$8,804,443",-,-,"$8,804,443",100%
190,191,All About Suomi,"$8,799,528","$5,069,171",57.6%,"$3,730,357",42.4%
191,192,Muroi Shinji: Ikitsuzukeru Mono,"$8,798,081",-,-,"$8,798,081",100%
192,193,Lisa Frankenstein,"$8,624,790",-,-,"$8,624,790",100%
193,194,Domovyonok Kuzya,"$8,551,637",-,-,"$8,551,637",100%
194,195,Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,"$8,528,605",-,-,"$8,528,605",100%
195,196,Saturday Night,"$8,467,953",-,-,"$8,467,953",100%
196,197,Listy do M. Pozegnania i powroty,"$8,165,361",-,-,"$8,165,361",100%
197,198,Ruki vverkh!,"$8,108,856",-,-,"$8,108,856",100%
198,199,Io e te dobbiamo parlare,"$8,093,190","$8,093,190",100%,-,-
199,200,The Boy with Pink Trousers,"$8,083,338",-,-,"$8,083,338",100%
